what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1309386183037
java.specification.version,sysinfo,,,"1.6",1309386183037
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1309386183037
java.version,sysinfo,,,"1.6.0",1309386183037
java.vm.info,sysinfo,,,"mixed mode",1309386183037
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1309386183037
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1309386183037
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1309386183037
java.vm.specification.version,sysinfo,,,"1.0",1309386183037
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1309386183037
java.vm.version,sysinfo,,,"1.6.0-b09",1309386183037
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1309386184059
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309386185133
